School ID,School Name,ZIP,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
609710,John M Harlan Community Academy High School,60628,17,Average,55.20%,54.10%,53.70%,54.20%,Far Below Average,13.52,13.75,15.1,12.82,13.67,15.1,47.90%,48.30%,12.60%,10.30%,64.40%,43.90%,5.90%,8.20%,55.70%,58%,63.90%,60.90%,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,30.80%,33%,4.3,4.5,81.20%,70.50%,94.40%,95.30%,No,,
609711,William Rainey Harper High School,60636,17,Far Below Average,45.60%,40.20%,,42.60%,Far Below Average,12.75,13.76,14.6,12.23,13.81,14.6,37%,43.10%,14.50%,12.10%,64.20%,71.20%,5.90%,9.80%,40.30%,38.50%,46.70%,41.40%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,69.50%,44.20%,3.3,3,73%,78.90%,94.70%,95%,No,,
609712,Emil G Hirsch Metropolitan High School,60619,5,Far Below Average,41.90%,39.10%,45.60%,42.50%,Far Below Average,11.47,12.29,13.5,12.71,13,13.5,36.20%,45.80%,7.40%,11.20%,69.50%,71.60%,10.80%,6.50%,45.10%,55.10%,56.10%,61.10%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,33.80%,23.30%,3.9,4.1,84.80%,80.70%,95.40%,93.90%,No,,
609713,Hyde Park Academy High School,60637,9,Average,58.50%,55.80%,51.40%,55%,Below Average,13.02,14.04,16,12.69,14.19,16,51.10%,53.30%,9.40%,13.90%,63.70%,60.50%,11.10%,12.90%,57.60%,65.10%,69.50%,70.90%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Weak,92.50%,92.90%,3.3,3.2,70.50%,67.70%,94.20%,94.20%,No,,
609715,Thomas Kelly High School,60632,1,Above Average,56.80%,66.60%,62.70%,62.30%,Below Average,13.41,14.58,16.8,13.63,15.4,16.8,67.40%,73.90%,0.90%,5.50%,65.60%,63.50%,22.10%,23.50%,46.40%,54.90%,78.50%,71%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,55.70%,55.50%,4.3,3.8,89.30%,88.50%,95.30%,95%,No,,
609716,Kelvyn Park High School,60639,17,Above Average,54.50%,67.20%,58.80%,59.10%,Far Below Average,12.8,13.77,15.2,13.09,14.2,15.2,54.10%,58.50%,6%,11.80%,56.90%,65.30%,16.70%,14.40%,35%,37.10%,59.30%,54.20%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Neutral,23.60%,10.30%,2.2,2.8,74.40%,76.30%,94.50%,94.90%,No,,
609718,John F Kennedy High School,60638,9,Above Average,69.10%,67.90%,61.70%,66.40%,Below Average,15.22,16.07,17.9,15.61,16.27,17.9,53.30%,62.30%,7.90%,7.60%,59.70%,60.40%,24.40%,22.60%,52.90%,51.80%,76.10%,75%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,28.80%,17.70%,1.7,2.1,83%,83.10%,94.70%,94.90%,No,,
609719,Lake View High School,60613,0,Average,53.50%,56.10%,,54.90%,Below Average,15.34,16.94,18.6,15.89,16.95,18.6,81.40%,83.20%,1.40%,1.80%,87.30%,92%,36.60%,39.30%,62.80%,66.10%,73%,68.30%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,80.30%,77.30%,3.1,2.3,87.70%,88.70%,96.20%,96.20%,Pending,,
609720,Albert G Lane Technical High School,60618,0,Above Average,58.20%,60.90%,65.80%,61.40%,Above Average,19.2,20.16,23.9,19.49,21.09,23.9,92.20%,90.90%,1.30%,1.20%,90.70%,95.10%,67.90%,71.10%,79.80%,80.60%,88.50%,87%,Well-organized,Strong,Strong,Strong,Neutral,Neutral,Very Strong,73.70%,44%,5.7,4.8,96.30%,96.40%,96.20%,96.30%,Pending,Yes,2012
609722,Manley Career Academy High School,60612,17,Above Average,57.80%,54.30%,66.20%,60.30%,Far Below Average,12.58,12.97,14.7,12.29,13.6,14.7,49%,50.60%,10.70%,14%,59.30%,49.50%,6.70%,8.10%,51.90%,53%,43.20%,62.50%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,29%,67%,2.4,2.9,66.80%,71.60%,95.40%,94.70%,No,,
609723,John Marshall Metropolitan High School,60624,17,Above Average,64.30%,58.60%,,61.60%,Far Below Average,11.81,13.44,14.4,12.29,13.79,14.4,36.80%,48.20%,18.30%,13%,55.20%,57.60%,6.50%,5.30%,45.20%,43%,65.50%,48.60%,Partially Organized,Neutral,Neutral,Weak,Neutral,Weak,Neutral,43%,28%,2.5,3.1,74.10%,77.40%,95.80%,93.90%,No,,
609724,Stephen T Mather High School,60659,0,Above Average,55.80%,68.80%,65.50%,63.20%,Below Average,14.96,15.59,16.7,14.23,15.53,16.7,56.20%,60.90%,9%,6.70%,59%,63.10%,24.60%,20.30%,57.40%,64.20%,80%,69.40%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,66%,91.50%,3.1,2.8,87.60%,88.70%,96.50%,96.40%,Pending,,
609725,Morgan Park High School,60643,1,Average,52.20%,54.70%,64.30%,57.10%,Below Average,14.63,15.89,18.1,14.62,16.08,18.1,80%,80.40%,1.90%,3.80%,73.30%,63.40%,33.60%,24.70%,78.50%,77.10%,79.10%,73.50%,Partially Organized,Neutral,Weak,Neutral,Weak,Neutral,Weak,38.10%,46.10%,4,4.5,84.20%,83%,94.60%,95%,No,,
609726,Gwendolyn Brooks College Preparatory Academy HS,60628,0,Far Above Average,65.70%,67.80%,69.40%,67.70%,Average,18.1,18.79,21.8,19.05,19.23,21.8,88.10%,88.20%,1.80%,0.90%,90.30%,92.60%,51.10%,58%,87.90%,85.80%,87.20%,82.90%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Strong,,8.60%,,3.7,87.10%,90.10%,95.20%,95.30%,No,,
609727,Wendell Phillips Academy High School,60653,17,Far Below Average,,,29.30%,28.20%,Far Below Average,11.52,13.1,14.1,13.13,14.18,14.1,40.30%,41.20%,32.80%,3.50%,32.10%,65%,2.50%,6.90%,42.60%,39.20%,47.50%,42.60%,Organized,Neutral,Neutral,Strong,Strong,Neutral,Neutral,85.90%,92.50%,3.2,3.1,63%,70.30%,96.10%,95.40%,No,,
609728,Theodore Roosevelt High School,60625,9,Far Below Average,29.20%,46.90%,44.50%,39.30%,Far Below Average,13.27,14.14,15.2,13.64,15.19,15.2,59.40%,54.20%,10.90%,7.50%,61.20%,61.30%,13.70%,18.50%,42.90%,46.60%,73%,74.60%,Partially Organized,Weak,Neutral,Neutral,Weak,Neutral,Neutral,91.50%,93.60%,2.1,3.1,82.30%,85.20%,96.10%,95.80%,No,,
609729,Carl Schurz High School,60641,9,Below Average,31.60%,52.60%,59.90%,46.30%,Far Below Average,13.42,14.25,15.5,13.93,14.58,15.5,62.10%,64.60%,5.30%,4.80%,61.60%,66%,9.70%,15.50%,40.40%,40.70%,65.70%,62.10%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,83%,87.10%,2.1,1.7,81.20%,82%,96%,95.20%,No,,
609730,Nicholas Senn High School,60660,9,Above Average,62.70%,69.60%,56%,63.50%,Below Average,13.35,14.14,16.5,14.2,14.53,16.5,40.10%,47.90%,12.80%,9.20%,79.80%,82.80%,17.50%,14.20%,54.40%,50.70%,80.20%,69.40%,Organized,Neutral,Neutral,Strong,Strong,Neutral,Neutral,15.50%,18%,2.5,2.4,81.70%,86.30%,96.40%,96.70%,Pending,,
609732,Charles P Steinmetz College Preparatory HS,60634,9,Below Average,37.20%,59.10%,60.50%,51.80%,Below Average,13.28,14.23,16.4,13.95,14.72,16.4,56.70%,58.60%,8%,8.20%,70.30%,73.60%,16.30%,15.90%,47%,48.80%,62.10%,61.60%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,57.80%,36.50%,3,3,79.20%,82.20%,96.20%,95.70%,Pending,,
609733,Roger C Sullivan High School,60626,8,Below Average,47.50%,60.30%,45.50%,50%,Far Below Average,12.64,13.78,14.5,13.23,14.14,14.5,39.30%,45.20%,11.70%,11.30%,68.60%,62.40%,14.80%,14.50%,52.10%,63.20%,84.90%,67.10%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,23.40%,36.90%,2.9,2.8,81.60%,80.20%,95.80%,95.60%,Pending,,
609734,William Howard Taft High School,60631,0,Average,48%,63.40%,65.70%,58.80%,Below Average,15.46,16.67,18.4,15.48,16.71,18.4,67.40%,73.50%,2%,3.50%,77.30%,73.10%,32.30%,29.90%,62.20%,66.60%,81%,79%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,36.70%,40.10%,2.6,2.4,89.10%,89.30%,96.10%,95.80%,No,,
609735,Edward Tilden Career Community Academy HS,60609,9,Far Below Average,23.30%,51.20%,37.10%,38.30%,Far Below Average,12.22,13.02,13.5,11.58,13.3,13.5,41.10%,33.90%,8%,12.60%,86.50%,58.60%,10.50%,8.20%,37%,30.20%,50%,54.70%,Not Yet Organized,Weak,Neutral,Weak,Weak,Weak,Weak,56.80%,38.70%,5.4,4.2,78.40%,71.20%,95.20%,94.10%,No,,
609736,Dyett High School,60615,8,Average,53.80%,51.30%,55.60%,53.50%,Far Below Average,12.08,13.11,14.7,11.63,13.52,14.7,33.70%,44%,16.30%,18.60%,37.10%,53.40%,3.30%,6.90%,51%,63.20%,54.50%,53.10%,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,75.50%,84%,3.1,3.3,62.50%,65.80%,93.50%,93.60%,No,,
609737,Friedrich W Von Steuben Metropolitan Science HS,60625,0,Above Average,60.20%,69.90%,70.90%,66.30%,Average,16,16.84,20.2,15.76,17.33,20.2,88.20%,88.20%,0.80%,1.10%,76.80%,77.30%,34.60%,38.60%,78.50%,80.10%,84.30%,77.30%,Organized,Strong,Neutral,Strong,Weak,Neutral,Strong,74.20%,71.40%,3.3,2.4,87%,89.60%,95.60%,95.40%,No,,
609738,Lincoln Park High School,60614,0,Above Average,50.50%,59.30%,71.10%,59.50%,Above Average,17.89,19.05,22.3,18.06,19.36,22.3,77.90%,73.10%,1.50%,3.50%,74.40%,76.50%,53.60%,54%,75.50%,81%,80.30%,83.50%,Organized,Strong,Neutral,Strong,Weak,Neutral,Strong,51.70%,38.60%,2.5,3.3,84.60%,86.30%,96%,95.60%,No,,
609739,George Washington High School,60617,0,Below Average,41%,51.20%,53.10%,48.30%,Below Average,13.69,14.16,16.2,13.69,14.73,16.2,71.60%,71.30%,0.80%,5.10%,78.60%,82.40%,14%,18.70%,50.90%,34.60%,70.20%,61.60%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,86.30%,97.80%,2.4,2,80.20%,80.50%,95.10%,95%,No,,
609740,Wells Community Academy High School,60622,0,Average,54.80%,62%,53.10%,56.60%,Far Below Average,13.24,13.56,15.1,12.72,13.71,15.1,59.30%,54.10%,14.60%,11.90%,61.30%,69%,7.20%,6.90%,43.80%,36.70%,55.90%,60%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,94.20%,72.80%,2.1,2.5,74.10%,81.30%,96.20%,96.30%,Pending,,
609741,Gurdon S Hubbard High School,60629,1,Far Above Average,72.50%,65.50%,70%,69.50%,Below Average,14.68,15.46,17.8,14.56,15.39,17.8,57.20%,62.80%,9%,7.40%,64.50%,73.10%,30.10%,25.40%,51.30%,59.70%,73.50%,73.40%,Well-organized,Strong,Neutral,Neutral,Very Strong,Strong,Neutral,10.50%,27%,4.3,3.1,89.30%,89.90%,96.40%,96.80%,Pending,,
609746,Kenwood Academy High School,60615,0,Average,68%,44.10%,62.40%,58.50%,Below Average,15.62,16.74,19.3,15.66,16.98,19.3,69.50%,76.50%,1.90%,1.10%,70.30%,71.50%,26.80%,30.70%,79.70%,83%,76.20%,75.80%,Partially Organized,Neutral,Neutral,Neutral,Very Weak,Very Weak,Strong,95.10%,97.10%,3.9,3.2,88.40%,87.80%,95.30%,95.20%,No,,
609749,Northside College Preparatory High School,60625,0,Far Above Average,80.50%,74.70%,,77.70%,Far Above Average,22.42,24.7,29.6,22.2,24.59,29.6,97.60%,98.30%,0.10%,0.40%,95.90%,98.50%,98%,97.60%,90.70%,87.50%,95.80%,92.10%,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,15.50%,14.70%,4,3.8,95.70%,95.90%,96.80%,96.20%,No,Yes,2011
609751,Dr  Martin Luther King  Jr  College Prep HS,60653,0,Below Average,50%,52.90%,,51.50%,Average,17.47,18.12,20.9,17.56,18.86,20.9,75.40%,85.40%,2.30%,2%,91.10%,87.50%,31.90%,40.20%,85.10%,81.10%,85.10%,80.10%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,40.70%,17.40%,3.4,3.6,92.90%,92.60%,96.30%,95.90%,No,,
609753,Chicago High School for Agricultural Sciences,60655,0,Average,50.40%,58.90%,,54.20%,Average,16.25,17.59,20.2,16.41,17.6,20.2,70.70%,71.90%,5.30%,2.10%,88.10%,83.20%,30.70%,49.50%,79.60%,76.10%,89.40%,84.10%,Organized,Strong,Neutral,Neutral,Strong,Neutral,Very Strong,66.90%,70.90%,2.5,2.5,92.80%,93.80%,95.20%,94.60%,No,,
609754,Chicago Military Academy High School,60653,1,Far Above Average,57.80%,76.30%,65.50%,68%,Below Average,14.75,15.65,18,14.44,15.63,18,83.60%,68.50%,5.10%,9.10%,88.10%,93.40%,24.40%,19.80%,69.30%,57.70%,63.90%,80.30%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,39.80%,22.20%,2.6,2.2,90.30%,89.70%,95.60%,96.20%,No,,
609755,Whitney M Young Magnet High School,60607,0,Far Above Average,74.10%,70.20%,66.70%,70.40%,Far Above Average,21.05,22.99,27,21.19,23.4,27,93.90%,91.20%,1.30%,0.40%,96.70%,97%,89%,91.60%,88.30%,86.90%,91.20%,90.40%,Well-organized,Very Strong,Strong,Strong,Very Strong,Strong,Very Strong,75%,43.80%,4.4,2.5,94.60%,95.50%,94.90%,95.10%,No,Yes,2009
609756,Marie Sklodowska Curie Metropolitan High School,60632,4,Far Above Average,69.20%,63.20%,,66.50%,Below Average,14.26,14.98,17.3,14.21,15.24,17.3,76.10%,76.80%,3.20%,2.90%,61%,65.20%,22.90%,25.10%,61.30%,62%,81.50%,78.40%,Not Yet Organized,Weak,Weak,Neutral,Very Weak,Weak,Neutral,42.30%,35.90%,2.7,2.8,85%,83.10%,95%,95.20%,No,,
609759,Roberto Clemente Community Academy High School,60622,17,Below Average,46.60%,44.20%,,45.50%,Far Below Average,12.59,13.38,15,13.46,14.24,15,49.50%,52%,7.50%,1.30%,58.90%,92.60%,12.50%,13.50%,41.50%,43.10%,64.70%,51.40%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Neutral,41.30%,77.20%,2.8,5,69.60%,78.70%,94.20%,95.50%,No,,
609760,George Washington Carver Military Academy HS,60627,0,Average,40%,59.30%,58%,52.40%,Below Average,14.5,14.98,16.9,15.09,15.38,16.9,78.70%,85.30%,0.20%,0.40%,79.50%,86.30%,21.20%,16.50%,60.50%,49.10%,65.80%,75.50%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,66.10%,89.70%,5.1,4.9,91.60%,91.40%,96.40%,96%,No,,
609761,George H Corliss High School,60628,11,Average,36.80%,63.10%,56.40%,52.80%,Far Below Average,11.94,12.91,14.7,12.36,12.95,14.7,42.80%,45.50%,14.10%,7.10%,76.20%,60%,10.60%,11.90%,44%,50%,58.90%,64.20%,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Weak,48.60%,68.60%,4.8,5.3,71.30%,73.60%,95.20%,95.20%,No,,
609762,Percy L Julian High School,60643,9,Above Average,61.50%,56.30%,62.40%,60.10%,Far Below Average,13.27,13.96,15.5,12.98,14.53,15.5,60.30%,55%,7.20%,6%,65.30%,65.10%,8.30%,7.30%,54.90%,55.80%,73.30%,71.30%,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Weak,18.60%,28.50%,4.3,4,74.60%,75.90%,94.20%,93.70%,No,,
609764,Benito Juarez Community Academy High School,60608,10,Average,61.40%,53.30%,,57.80%,Below Average,13.5,14.77,16.4,13.98,15.33,16.4,56.20%,68.80%,7.20%,5.50%,71.10%,84%,14.80%,17.60%,48.80%,47.20%,69.90%,70.40%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,86.60%,62.40%,3.8,4.2,83.70%,87.20%,95.80%,96%,Pending,,
609768,Hope College Preparatory High School,60621,5,Average,63.40%,54.70%,54.40%,57.30%,Far Below Average,12.3,13.51,14.9,12.49,14.33,14.9,55.20%,57.70%,6.10%,8.50%,63.60%,68.50%,16.70%,12.40%,58.20%,62.10%,59.20%,65.40%,Moderately Organized,Neutral,Weak,Neutral,Strong,Neutral,Weak,52.10%,43.10%,3.8,3.5,72.20%,76.60%,94.30%,94.70%,No,,
