School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
609788,Alice L Barnard Computer Math & Science Ctr ES,60643,1,Scantron,Average,49.80%,59.10%,31.30%,51.70%,52.90%,53.60%,71.40%,51.70%,52.40%,31.30%,44.80%,35.30%,53.60%,76.20%,48%,Below Average,40.80%,43.50%,21.20%,43.30%,23.50%,50%,40.90%,37.40%,54.50%,30.30%,46.70%,23.50%,53.30%,54.50%,44.20%,51.70%,,,,,52.70%,48%,,,,,47.70%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Strong,100%,84.80%,1.6,1.9,95.60%,92.60%,95%,93.80%,No,No,
609789,John Barry Elementary School,60641,0,Scantron,Above Average,56.20%,50%,52%,45.20%,76.60%,,,53.30%,48.50%,68%,64.30%,57.40%,,,59%,Below Average,39.60%,33%,33.30%,20.70%,33.30%,,,29.70%,34.30%,47.40%,62.10%,62.50%,,,49.50%,,53.10%,,26.70%,51.30%,52.70%,,59.60%,,57.60%,59.70%,58.80%,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Strong,44.70%,94.40%,2.5,1.4,95.10%,93%,96.10%,95.90%,No,No,
609790,Clara Barton Elementary School,60620,6,Scantron,Below Average,40.70%,39%,17%,46.20%,42.90%,43.60%,48.10%,40.10%,47.30%,25.50%,60.60%,36.50%,31.30%,36.20%,41.30%,Far Below Average,23.40%,21.30%,5.70%,33.30%,10.50%,31%,24.10%,21.60%,22.50%,13.50%,50.70%,14.80%,26%,17.30%,25.20%,40.10%,,,18.90%,,40.60%,41.40%,,,18.80%,,41%,Organized,Neutral,Neutral,Neutral,Neutral,Strong,Weak,90%,58.50%,2.1,1.8,91.70%,92.10%,96.40%,95.90%,No,No,
609791,Perkins Bass Elementary School,60621,17,Scantron,Average,46.20%,31.80%,41.70%,40.70%,45%,58.30%,42.90%,43.50%,59.10%,37.50%,32%,57.90%,72.70%,39.30%,49.10%,Far Below Average,18.70%,33.30%,13.60%,8.80%,12.20%,20%,23.30%,17.40%,11.10%,18.40%,19.40%,22.50%,33.30%,16.70%,20%,42.90%,,,,,43.80%,48.80%,,,,,49.10%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,96.80%,92.20%,2.6,2.6,92.10%,90.70%,96.40%,95.70%,No,No,
609792,Newton Bateman Elementary School,60618,0,Scantron,Above Average,63.30%,58.20%,57.80%,52.60%,68.60%,75.30%,62.30%,62.50%,63.20%,69.60%,60.50%,65.10%,61.20%,64.90%,64%,Average,48.50%,35.40%,46.40%,26.30%,50%,62.40%,57.10%,46%,35.70%,54.80%,44.60%,46%,64.70%,64.10%,51.10%,,60.90%,73.20%,37.50%,55.40%,62.40%,,63.50%,62.20%,,63.80%,64.80%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,,,,,96.20%,95%,96.70%,96.20%,Pending,No,
609793,Nicholson Technology Academy,60621,0,Scantron,Average,51.50%,57.10%,58.50%,44.20%,32.40%,63.90%,35.10%,48.90%,47.50%,79.50%,44.20%,52.80%,46.20%,51.40%,54%,Average,46.90%,36.20%,32%,29.80%,13.50%,52.50%,36.80%,33.60%,44.40%,58.30%,69.60%,57.90%,67.40%,64.90%,60.30%,48.70%,,,60%,,48.50%,54%,,,50%,,54.50%,Organized,Weak,Very Strong,Very Strong,Neutral,Neutral,Neutral,93.10%,100%,4.7,3.8,93.40%,92.50%,97%,96.20%,No,No,
609794,Thomas A Edison Regional Gifted Center ES,60625,0,Scantron,Above Average,65.80%,46.70%,63.30%,75%,71.90%,70%,74.10%,66.90%,51.90%,50%,61.30%,72.40%,90%,61.50%,64.70%,Far Above Average,96.30%,93.30%,96.70%,93.80%,100%,100%,100%,97.20%,88.90%,93.30%,93.50%,100%,96.70%,100%,95.40%,,62.80%,70.30%,,,,,61.50%,68.90%,,,,Organized,Not Enough Data,Very Strong,Very Strong,Not Enough Data,Not Enough Data,Very Strong,,,,,96.60%,97.20%,96.30%,95.30%,No,No,
609795,George Rogers Clark Elementary School,60644,0,Scantron,Above Average,66.30%,56.70%,33.30%,75%,71%,65.20%,88.90%,66.70%,56.70%,83.30%,87%,53.30%,68.20%,58.30%,66%,Above Average,64.50%,66.70%,36.80%,50%,34.40%,76.90%,75%,57.20%,56.70%,63.20%,91.30%,71%,76.90%,76%,72.10%,62.90%,75.50%,,,,66.40%,64.30%,65.40%,,,,65.20%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Weak,46%,58.30%,1.8,2.5,93.90%,95%,96.40%,95.60%,No,No,
609796,Jean Baptiste Beaubien Elementary School,60630,0,NWEA,Above Average,60.80%,47.30%,64.90%,55.70%,57.80%,50.90%,53.70%,55.30%,49.10%,68%,67.80%,80.50%,62.60%,68.90%,66.30%,Above Average,69.50%,67.50%,72.20%,63.60%,73.20%,72.20%,74%,70.50%,64.60%,67.40%,61.90%,74.80%,63.20%,78.70%,68.60%,,53.90%,56.30%,55.70%,61.10%,53.60%,,65.10%,65.40%,51.70%,52.80%,64.10%,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Strong,68.10%,74.50%,1.1,1.4,95.70%,95.40%,96.30%,96.60%,No,No,
609797,Jacob Beidler Elementary School,60612,1,Scantron,Above Average,66.60%,54.10%,70.70%,78.90%,54.20%,57.10%,50%,60.40%,64.90%,80.50%,84.20%,75%,81%,52.30%,72.80%,Below Average,39.80%,31.60%,56.10%,47.50%,16.30%,33.30%,25%,34.30%,31.60%,61%,65%,46.90%,50%,18.20%,45.30%,60.70%,,,51.10%,,60.40%,73.40%,,,63.80%,,72.80%,Organized,Neutral,Strong,Strong,Weak,Neutral,Neutral,,82.40%,,2.4,95.40%,94.10%,96.60%,96.40%,No,No,
609798,Hiram H Belding Elementary School,60641,0,NWEA,Above Average,67.40%,64.30%,63.60%,58.90%,61.40%,67.90%,69.20%,64.30%,68.30%,77.30%,63%,77.10%,78.30%,64.40%,70.90%,Average,52.10%,66.70%,46%,45.90%,52%,61.90%,66.70%,56.40%,47.80%,62.70%,41%,48%,39.70%,50%,47.70%,,64.50%,64%,53.30%,64.70%,61.50%,,75.90%,63.40%,,66.70%,68.60%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,47%,63.80%,2,1.8,95%,94.50%,96.20%,95.90%,Pending,No,
609799,Alexander Graham Bell Elementary School,60618,0,Scantron,Above Average,61.90%,51.90%,58.90%,63.10%,68.90%,73%,66%,63.20%,68.80%,46.70%,63.90%,60.20%,71.40%,52.70%,60.50%,Far Above Average,83.50%,83.80%,73.80%,82.30%,84.80%,97.80%,77.90%,83.10%,84.80%,75.90%,83.60%,80.60%,97.70%,82.80%,83.80%,,61.20%,63.70%,44.90%,,52.30%,,66.70%,58%,52.10%,,54.50%,Well-organized,Very Strong,Strong,Neutral,Neutral,Strong,Very Strong,23.30%,49.30%,1.3,1.2,96.30%,96.20%,95.90%,96.10%,No,No,
609800,Frank I Bennett Elementary School,60628,4,Scantron,Above Average,59.70%,41.20%,46.80%,73.90%,48.10%,55.60%,63.80%,54.50%,57.10%,44.70%,82.20%,80.80%,40%,78.30%,65%,Below Average,38.20%,20%,22.60%,46%,29.80%,38.10%,34.60%,31.40%,23.20%,32.10%,63.30%,57.10%,40.50%,55.80%,45.10%,54.50%,,,43.60%,,53.80%,65.10%,,,50%,,64.40%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,71.10%,,2,,92.50%,93.10%,95.90%,95.70%,No,No,
609803,James G Blaine Elementary School,60613,0,Scantron,Above Average,57.20%,60.30%,53.10%,64.80%,55.10%,66%,73.90%,60.70%,52.20%,62.40%,47.20%,60%,51.70%,40.90%,53.80%,Far Above Average,80.70%,83.80%,78.60%,74.70%,77.50%,80.30%,83%,79.30%,77.10%,85.40%,80%,84.70%,82.80%,79.50%,82%,,61.20%,61.50%,64.50%,,56.50%,,53.10%,55.60%,36.40%,,46%,Organized,Strong,Strong,Strong,Weak,Neutral,Very Strong,38.10%,56.50%,3.4,2.2,96.40%,96.40%,96%,96.50%,No,No,
609804,Daniel Boone Elementary School,60645,0,Scantron,Average,45.60%,53.70%,42.90%,46.80%,33.30%,54.70%,48.90%,47.10%,75.90%,31%,37.80%,20.40%,53.70%,34.70%,44.10%,Below Average,41.30%,46.50%,30.30%,37.80%,32.70%,43.90%,49.10%,39.90%,60%,27.30%,43.80%,20.80%,46.60%,53.70%,42.80%,38.90%,43.90%,53.20%,34.30%,44.10%,46.60%,32.70%,41.70%,45%,31.40%,57.30%,43.40%,Well-organized,Strong,Neutral,Strong,Very Strong,Very Strong,Neutral,64.40%,64.40%,2.2,1.2,95.50%,95.50%,95.40%,95.60%,Pending,No,
609805,Scott Joplin Elementary School,60620,4,Scantron,Average,54.60%,54.50%,30.40%,62.50%,42.30%,53.50%,49.10%,48.60%,41.30%,74.50%,70.80%,60.40%,50%,65.30%,60.70%,Below Average,37.90%,26.90%,23.50%,36%,34.50%,53.10%,33.30%,34.40%,21.20%,45.10%,56%,36.80%,42.90%,47.40%,41.50%,48.80%,,,40.40%,,48.60%,60.60%,,,57.80%,,60.90%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Weak,77.90%,81%,2.1,1.8,95%,94.30%,94.60%,94.70%,No,No,
609806,Myra Bradwell Communications Arts & Sciences ES,60649,6,NWEA,Above Average,65.90%,75.80%,56.90%,83.70%,67.30%,82%,57.10%,70.10%,72.10%,27.50%,77.60%,64.30%,54.50%,71%,61.70%,Far Below Average,23.10%,19.40%,19.50%,41%,23.30%,40.30%,35.10%,28.90%,14.90%,6.90%,34.40%,11.80%,19.40%,20.30%,17.40%,70%,,,53.20%,,69.80%,61.60%,,,47.50%,,61.60%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,79.60%,78.80%,2.2,2.2,92.10%,93.60%,96.40%,95.20%,Yes,No,
609807,Lionel Hampton Fine & Performing Arts ES,60652,0,Scantron,Average,48.20%,50.80%,49.30%,47.60%,52%,52.20%,50.80%,50.50%,53%,54.20%,44.40%,34.70%,57.40%,32.30%,46%,Below Average,35.60%,32.90%,22.70%,32.30%,31.60%,36%,33.30%,31.40%,21.70%,41.90%,33.80%,44.70%,56.80%,37.90%,39.90%,49.60%,51.30%,,47.10%,,50.50%,42.30%,51.90%,,44.20%,,46%,Moderately Organized,Neutral,Weak,Neutral,Strong,Neutral,Weak,18.60%,21.30%,2,1.7,95%,94.50%,96.60%,96.50%,No,No,
609808,Alex Haley Elementary Academy,60628,0,Scantron,Average,45.20%,35.30%,41%,25.50%,40.60%,48.80%,59%,40.20%,44.60%,71.10%,40.70%,35.90%,64.30%,61.50%,50.30%,Far Below Average,22%,16.90%,19.50%,17.20%,9%,33.30%,40%,21%,10.10%,23.80%,23.20%,14.90%,40%,40%,23.10%,40.20%,,,5.90%,,40%,50.30%,,,55.90%,,50.20%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,93.30%,87.50%,4.8,3.6,94.90%,94.70%,94.70%,94.10%,No,No,
609809,Lorenz Brentano Math & Science Academy ES,60647,1,Scantron,Average,51.90%,51.30%,51.90%,54.30%,63.60%,44.10%,48.70%,52.20%,71.80%,73.30%,61.10%,33.30%,37.10%,35%,51.60%,Below Average,40.60%,27.90%,32.30%,31.60%,47.10%,36.10%,35.90%,34.80%,25.60%,74.20%,55.30%,38.20%,52.80%,40%,46.40%,,53.20%,,,,54.40%,,52.60%,,,,51.50%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,55.80%,35.80%,2.3,1.9,94.70%,93.30%,97.70%,97%,Pending,No,
609810,Norman A Bridge Elementary School,60634,0,NWEA,Far Above Average,72.20%,47.60%,56.80%,71.60%,76%,67.70%,69.30%,64.80%,76.70%,87.70%,76.10%,82.30%,78.30%,76%,79.40%,Above Average,59.40%,53.30%,49.40%,60.20%,58.30%,57.10%,71.10%,57.90%,58.70%,56.50%,55.70%,71.40%,63%,60.50%,61%,,65.60%,64.70%,58.30%,70.20%,66.80%,,79.10%,81.70%,72.50%,81.30%,80.80%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Strong,18.80%,18.60%,1.5,2,95.60%,95.20%,96.60%,96.10%,No,No,
609811,Orville T Bright Elementary School,60617,4,Scantron,Above Average,60.30%,69.20%,50%,60.70%,73.30%,82.10%,57.10%,66.70%,71.80%,48%,53.60%,57.40%,50%,34.50%,54.10%,Far Below Average,29.30%,26.20%,16%,36.70%,35.40%,46.70%,44.80%,34.30%,21.40%,19.20%,26.70%,31.30%,16.70%,26.70%,24.30%,68.30%,63.30%,,57.50%,,67%,51.70%,61.20%,,54.80%,,53.80%,Partially Organized,Weak,Neutral,Strong,Weak,Neutral,Weak,61.40%,73%,3,2.9,92.20%,91.30%,95.30%,95.60%,No,No,
609812,William H Brown Elementary School,60612,6,Scantron,Average,52.70%,40%,38.50%,45.50%,30.40%,41.20%,68%,45.20%,46.70%,84.60%,45.50%,78.30%,70.60%,37.50%,60.20%,Below Average,33.80%,31.30%,7.10%,36.40%,25%,27.80%,36%,27.80%,31.30%,21.40%,45.50%,37.50%,55.60%,44%,39.80%,44.10%,,,,,45.20%,60.40%,,,,,60.20%,Well-organized,Neutral,Very Strong,Very Strong,Very Strong,Strong,Neutral,57.10%,64.20%,1.8,2.2,92.80%,91.60%,94.70%,96.60%,No,No,
609813,Charles S Brownell Elementary School,60637,1,Scantron,Average,50.20%,61.50%,48.60%,40%,58.60%,,,52.60%,47.40%,41.20%,44.80%,58.60%,,,47.70%,Far Below Average,22.60%,22%,11.10%,12.90%,13.30%,,,15.20%,24.40%,22.90%,30%,46.70%,,,30.10%,52.60%,,,,,52.30%,47.70%,,,,,48.10%,Partially Organized,Weak,Strong,Strong,Very Weak,Very Weak,Neutral,100%,97.40%,2.2,2.1,92.80%,91.30%,95.50%,95.30%,No,No,
609815,Edward A Bouchet Math & Science Academy ES,60649,10,Scantron,Above Average,67.60%,48.60%,65.70%,63%,88.60%,77%,69.50%,68.60%,46.70%,66.70%,63.30%,72%,86.70%,67.20%,66.60%,Far Below Average,28.80%,23.30%,28.80%,20.30%,26.60%,47.10%,46.90%,31.50%,17.60%,30.60%,24.60%,13.60%,50%,23.80%,26.10%,68.40%,,,69%,,68.80%,66.70%,,,69.50%,,65.90%,Well-organized,Strong,Neutral,Very Strong,Very Strong,Very Strong,Weak,45.20%,43.80%,2.4,1.9,92.90%,92%,95.90%,95.70%,No,No,
609817,Lyman A Budlong Elementary School,60625,0,NWEA,Above Average,63.90%,35.60%,61.40%,61.50%,66.70%,50.80%,76.60%,59.20%,75.40%,72.90%,83.10%,54.50%,62.90%,63.50%,68.70%,Above Average,56%,59%,59.20%,65.20%,54.90%,58.10%,71.90%,61.30%,64.40%,56.30%,65.20%,34.70%,41.30%,44.40%,50.80%,,59.10%,56.20%,,55.60%,58.90%,,66.30%,68.90%,,72.80%,68.10%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Strong,22.40%,24.60%,2.2,1.4,95.40%,93.10%,95.70%,96.10%,No,No,
609818,Luther Burbank Elementary School,60639,0,Scantron,Average,51%,40.70%,58.80%,42.20%,49.50%,56.80%,65.30%,52.70%,45.10%,58.80%,49.40%,34.40%,58.50%,49%,49.40%,Below Average,37.40%,33.30%,34.90%,27.40%,34.70%,39%,56.10%,37.80%,30.20%,52.80%,36.90%,23.20%,24%,53.10%,37%,41.20%,53.40%,,,39.30%,52.70%,33.30%,51.30%,,,55.70%,49.30%,Well-organized,Strong,Strong,Strong,Very Strong,Very Strong,Strong,41.60%,48.70%,3.4,2.6,95.20%,95.40%,95.50%,94.10%,Pending,No,
609819,Edmond Burke Elementary School,60615,6,NWEA,Average,53.10%,68.40%,,55.60%,50%,54.50%,21.10%,52.60%,45%,,50%,38.50%,75%,50%,53.50%,Far Below Average,21.70%,18.20%,58.30%,21.90%,11.10%,18.80%,24%,23.20%,8.30%,40%,12.10%,11.10%,28.60%,33.30%,20.30%,52.60%,,,,,51.10%,53.50%,,,,,53.70%,Partially Organized,Not Enough Data,Weak,Very Weak,Not Enough Data,Not Enough Data,Weak,58.30%,59%,2.6,3,89.30%,88.90%,95.50%,95.40%,No,No,
609820,Augustus H Burley Elementary School,60657,0,Scantron,Above Average,57.10%,68.90%,50.90%,49.10%,50%,53.70%,67.40%,56.60%,77%,60.70%,36.80%,63%,42.60%,65.20%,57.60%,Far Above Average,72.30%,75.80%,70.90%,71.90%,68.50%,77.80%,71.70%,72.90%,82%,75%,61.40%,72.20%,70.40%,67.40%,71.60%,,46%,68.10%,40.90%,,39.50%,,51.30%,63.50%,47.80%,,51.10%,Well-organized,Very Strong,Very Strong,Strong,Very Strong,Strong,Very Strong,,,,,96.50%,96.80%,95%,95.50%,No,No,
609821,Burnham Elementary Inclusive Academy,60617,0,Scantron,Above Average,66%,71.40%,60.60%,76.90%,51.50%,60%,63.90%,64.20%,76.20%,65.60%,66.70%,66.70%,60%,72.20%,67.70%,Above Average,56.40%,50%,39.40%,48.70%,51.40%,53.80%,51.40%,49%,50%,59.40%,56.40%,71.40%,61.50%,78.40%,63.90%,64.50%,,,,,63.70%,67.60%,,,,,67.40%,Well-organized,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,43%,77.40%,1.3,1.1,95.50%,95.30%,96.90%,96.50%,Pending,No,
609826,Rosario Castellanos Elementary School,60623,0,Scantron,Above Average,58.60%,,55.10%,50.60%,57%,59.30%,79.70%,59.50%,,79.50%,47.10%,38.60%,61.20%,70%,57.70%,Below Average,39.90%,,26.30%,23.10%,22.90%,29.70%,50%,29.30%,,58.80%,34.10%,38.50%,56%,74.30%,50.60%,,59.70%,,69.40%,67.90%,59.60%,,58.10%,,55.60%,66.70%,57.90%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,6.70%,17.80%,4.4,5.4,96.30%,96.50%,96.90%,96.70%,No,No,
609827,Burnside Elementary Scholastic Academy,60619,0,Scantron,Average,53.70%,45.90%,40.90%,57.50%,59.50%,47.50%,62.30%,52.50%,44.90%,61.30%,58.30%,58.70%,56.70%,48.40%,54.90%,Below Average,42.50%,32.90%,42%,42.10%,50%,40%,39.30%,41.30%,22.50%,50%,46.10%,51.10%,50.80%,43.50%,43.70%,52.60%,,,26.30%,,51.50%,54.70%,,,40.50%,,54.80%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,59.80%,45.10%,2.2,2,94.90%,94.20%,94.90%,94.20%,No,No,
