School_ID,School_Name,Zip,School_Type,Administrator_Title,AttendanceBoundaries,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Demographic_Description,ADA_Accessible,DressCode,PreK_School_Day,Kindergarten_School_Day,Classroom_Languages,BilingualServices,RefugeeServices,Title1Eligible,PreSchoolInclusive,PreschoolInstructional,SignificantlyModified,HardOfHearing,VisualImpairments,School_Latitude,School_Longitude,Average_ACT_School,PercentCollege,PercentGraduate,Overall_Rating,Rating_Status
610084,Annie Keller Elementary Gifted Magnet School,60655,Regional gifted center,Principal,FALSE,240,48,6,4,83,26,72,46,0,0,0,7,2,4,The largest demographic at KELLER is Black.  This demographic makes up 34.6% of the student population.  The second greatest demographic is White at 30%.,Fully Accessible,FALSE,,Full Day,,,,FALSE,,,TRUE,,,41.69717,-87.697278,,,,Level 1+,Good Standing
610316,Amelia Earhart Options for Knowledge ES,60617,Neighborhood,Principal,TRUE,248,180,23,7,239,4,0,0,0,0,0,5,0,0,The largest demographic at EARHART is Black.  This demographic makes up 96.4% of the student population.  The second greatest demographic is Other at 2%.,Generally accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.726107,-87.582182,,,,Level 1,Good Standing
400072,Betty Shabazz - Betty Shabazz,60619,Charter,Director,FALSE,198,186,22,1,192,2,0,0,0,0,0,2,0,2,The largest demographic at SHABAZZ - SHABAZZ is Black.  This demographic makes up 97% of the student population.  The second greatest demographic is Other at 2%.,No/unknown accessibility,TRUE,,Full Day,,,,TRUE,,,,,,41.752458,-87.600255,,,,Level 1,Not Applicable
610384,Infinity Math Science and Technology High School,60623,Small,Principal,TRUE,406,382,55,48,6,395,3,1,0,0,0,1,0,0,The largest demographic at INFINITY HS is Hispanic.  This demographic makes up 97.3% of the student population.  The second greatest demographic is Black at 1.5%.,Fully Accessible,TRUE,,Full Day,"Spanish, Spanish for Heritage Speakers",TRUE,FALSE,TRUE,,,,,,41.836169,-87.735278,18.8,58.5,94.2,Level 1+,Good Standing
609680,Walter Payton College Preparatory High School,60610,Selective enrollment,Principal,FALSE,974,304,51,6,122,216,420,162,4,0,0,45,4,1,The largest demographic at PAYTON HS is White.  This demographic makes up 43.1% of the student population.  The second greatest demographic is Hispanic at 22.2%.,Fully Accessible,FALSE,,Full Day,"Chinese, French, Japanese, Latin, Spanish",TRUE,FALSE,FALSE,,,TRUE,,TRUE,41.901575,-87.635385,29.6,87.7,95.3,Level 1+,Good Standing
610131,Ambrose Plamondon Elementary School,60608,Neighborhood,Principal,FALSE,144,140,21,32,44,96,1,0,0,0,0,2,0,1,The largest demographic at PLAMONDON is Hispanic.  This demographic makes up 66.7% of the student population.  The second greatest demographic is Black at 30.6%.,No/unknown accessibility,TRUE,,Full Day,,TRUE,,TRUE,,,,,,41.860259,-87.692526,,,,Level 2,Provisional Support
610524,Louisa May Alcott College Preparatory HS,60618,Small,Principal,FALSE,328,262,42,19,56,232,26,5,2,0,0,6,1,0,The largest demographic at ALCOTT HS is Hispanic.  This demographic makes up 70.7% of the student population.  The second greatest demographic is Black at 17.1%.,Fully Accessible,FALSE,,Full Day,"French, Spanish",TRUE,FALSE,FALSE,,,TRUE,,,41.935795,-87.680562,17.6,59.6,87.1,Level 1+,Good Standing
609754,Chicago Military Academy High School,60653,Military academy,Principal,FALSE,291,271,39,12,204,80,5,0,0,0,0,2,0,0,The largest demographic at CHICAGO MILITARY HS is Black.  This demographic makes up 70.1% of the student population.  The second greatest demographic is Hispanic at 27.5%.,Fully Accessible,TRUE,,Full Day,Spanish,TRUE,FALSE,TRUE,,,,,,41.830555,-87.619216,16.9,44.8,85.4,Level 1,Good Standing
400079,UNO Charter School - SPC Daniel Zizumbo,60632,Charter,Director,FALSE,622,562,51,259,0,611,8,0,1,0,0,1,0,1,The largest demographic at UNO - ZIZUMBO is Hispanic.  This demographic makes up 98.2% of the student population.  The second greatest demographic is White at 1.3%.,Fully Accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.810135,-87.730495,,,,Level 1+,Not Applicable
609925,Joseph Kellman Corporate Community ES,60612,Neighborhood,Principal,TRUE,350,343,19,0,349,0,0,0,0,0,0,0,0,1,The largest demographic at KELLMAN is Black.  This demographic makes up 99.7% of the student population.  The second greatest demographic is Other at 0.3%.,Fully Accessible,TRUE,Full Day,Full Day,,,,TRUE,,,,,,41.870168,-87.702163,,,,Level 2+,Provisional Support
400054,Noble - Pritzker College Prep,60639,Charter,Director,FALSE,996,941,107,91,27,956,5,1,4,0,0,3,0,0,The largest demographic at NOBLE - PRITZKER HS is Hispanic.  This demographic makes up 96% of the student population.  The second greatest demographic is Black at 2.7%.,Generally accessible,TRUE,,,"Latin, Spanish",FALSE,FALSE,TRUE,,,,,,41.915214,-87.730127,21.9,85.7,90.3,Level 1+,Not Applicable
610199,Johnnie Colemon Elementary Academy,60643,Neighborhood,Principal,TRUE,257,218,26,14,240,15,0,2,0,0,0,0,0,0,The largest demographic at COLEMON is Black.  This demographic makes up 93.4% of the student population.  The second greatest demographic is Hispanic at 5.8%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.677505,-87.658111,,,,Level 1+,Good Standing
610394,Uplift Community High School,60640,Small,Principal,FALSE,291,281,103,29,235,42,7,5,1,0,0,1,0,0,The largest demographic at UPLIFT HS is Black.  This demographic makes up 80.8% of the student population.  The second greatest demographic is Hispanic at 14.4%.,Generally accessible,FALSE,,Full Day,"French, Spanish",FALSE,FALSE,TRUE,,,TRUE,,,41.965547,-87.652473,15.6,65.4,74.3,Level 2+,Good Standing
609924,Fort Dearborn Elementary School,60620,Neighborhood,Principal,TRUE,402,396,62,0,395,5,0,0,0,0,0,1,1,0,The largest demographic at FORT DEARBORN is Black.  This demographic makes up 98.3% of the student population.  The second greatest demographic is Hispanic at 1.2%.,Generally accessible,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.729673,-87.655481,,,,Level 2+,Good Standing
610029,Rodolfo Lozano Bilingual & International Ctr ES,60642,Neighborhood,Principal,TRUE,232,211,67,115,32,186,8,0,1,0,0,4,1,0,The largest demographic at LOZANO is Hispanic.  This demographic makes up 80.2% of the student population.  The second greatest demographic is Black at 13.8%.,Fully Accessible,TRUE,Full Day,Full Day,Spanish,TRUE,,TRUE,,,TRUE,,,41.908886,-87.665093,,,,Level 1,Good Standing
609926,Franklin Elementary Fine Arts Center,60610,Magnet,Principal,FALSE,357,140,41,12,136,75,111,25,0,0,0,10,0,0,The largest demographic at FRANKLIN is Black.  This demographic makes up 38.1% of the student population.  The second greatest demographic is White at 31.1%.,Generally accessible,FALSE,,Full Day,,,,FALSE,,,,,,41.9066,-87.635513,,,,Level 1,Good Standing
400098,Noble - Muchin College Prep,60602,Charter,Director,FALSE,937,790,112,61,242,635,9,45,3,0,0,3,0,0,The largest demographic at NOBLE - MUCHIN HS is Hispanic.  This demographic makes up 67.8% of the student population.  The second greatest demographic is Black at 25.8%.,Generally accessible,TRUE,,,Spanish,FALSE,FALSE,TRUE,,,,,,41.88274,-87.626338,21.8,88.4,86.4,Level 1+,Not Applicable
400136,YCCS-Olive Harvey Middle College HS,60628,Charter,Director,FALSE,117,110,18,1,107,10,0,0,0,0,0,0,0,0,The largest demographic at YCCS - OLIVE HARVEY is Black.  This demographic makes up 91.5% of the student population.  The second greatest demographic is Hispanic at 8.5%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.712922,-87.592333,15.1,39.3,,Level 1,Not Applicable
400179,Noble Mansueto High School,60632,Charter,Director,FALSE,177,163,20,38,3,163,2,8,1,0,0,0,0,0,The largest demographic at NOBLE - MANSUETO HS is Hispanic.  This demographic makes up 92.1% of the student population.  The second greatest demographic is Asian at 4.5%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.800136,-87.728003,,,,Inability to Rate,
609749,Northside College Preparatory High School,60625,Selective enrollment,Principal,FALSE,1070,415,66,6,90,307,322,207,3,0,4,49,1,87,The largest demographic at NORTHSIDE PREP HS is White.  This demographic makes up 30.1% of the student population.  The second greatest demographic is Hispanic at 28.7%.,Fully Accessible,FALSE,,Full Day,"Chinese, French, Japanese, Latin, Spanish",FALSE,FALSE,FALSE,,,TRUE,,,41.981315,-87.708708,29.5,93.4,97.8,Level 1+,Good Standing
609817,Lyman A Budlong Elementary School,60625,Neighborhood,Principal,TRUE,797,661,73,385,39,319,203,147,2,0,0,21,1,65,The largest demographic at BUDLONG is Hispanic.  This demographic makes up 40% of the student population.  The second greatest demographic is White at 25.5%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.975754,-87.696556,,,,Level 1+,Good Standing
610392,World Language Academy High School,60623,Small,Principal,TRUE,336,329,46,66,29,304,3,0,0,0,0,0,0,0,The largest demographic at WORLD LANGUAGE HS is Hispanic.  This demographic makes up 90.5% of the student population.  The second greatest demographic is Black at 8.6%.,Fully Accessible,TRUE,,Full Day,"Spanish, Spanish for Heritage Speakers",TRUE,FALSE,TRUE,,,,,,41.834397,-87.735292,17.5,57.8,77.9,Level 1,Good Standing
400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,60622,Charter,Director,FALSE,164,155,39,11,32,128,4,0,0,0,0,0,0,0,The largest demographic at YCCS - CAMPOS is Hispanic.  This demographic makes up 78% of the student population.  The second greatest demographic is Black at 19.5%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.90285,-87.696006,14,19.1,,Level 1,Not Applicable
610547,South Shore Intl College Prep High School,60649,Selective enrollment,Principal,TRUE,587,493,50,4,559,19,1,0,0,0,0,8,0,0,The largest demographic at SOUTH SHORE INTL HS is Black.  This demographic makes up 95.2% of the student population.  The second greatest demographic is Hispanic at 3.2%.,No/unknown accessibility,TRUE,,Full Day,"Chinese, Spanish",FALSE,FALSE,TRUE,,,TRUE,,,41.758792,-87.576353,17.9,64.2,71,Level 1,Good Standing
400082,UNO Charter School - Carlos Fuentes,60618,Charter,Director,TRUE,555,512,74,247,3,542,6,3,0,0,0,1,0,0,The largest demographic at UNO - FUENTES is Hispanic.  This demographic makes up 97.7% of the student population.  The second greatest demographic is White at 1.1%.,No/unknown accessibility,TRUE,,Full Day,,,,TRUE,,,,,,41.937476,-87.699594,,,,Level 1,Not Applicable
400156,Noble - Butler College Prep,60628,Charter,Director,FALSE,568,531,107,9,546,16,0,0,0,0,0,2,1,3,The largest demographic at NOBLE - BUTLER HS is Black.  This demographic makes up 96.1% of the student population.  The second greatest demographic is Hispanic at 2.8%.,No/unknown accessibility,TRUE,,,,FALSE,FALSE,,,,,,,41.706667,-87.602573,19.2,,,Level 1+,Not Applicable
610221,Daniel Webster Elementary School,60624,Neighborhood,Principal,TRUE,319,248,32,0,304,3,0,0,0,0,0,0,0,12,The largest demographic at WEBSTER is Black.  This demographic makes up 95.3% of the student population.  The second greatest demographic is Other at 3.8%.,No/unknown accessibility,TRUE,Full Day,Full Day,,,,TRUE,,,,,,41.869916,-87.727524,,,,Level 1,Good Standing
610021,Pablo Casals Elementary School,60651,Neighborhood,Principal,TRUE,454,433,45,96,209,240,3,0,0,0,0,2,0,0,The largest demographic at CASALS is Hispanic.  This demographic makes up 52.9% of the student population.  The second greatest demographic is Black at 46%.,Generally accessible,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.904503,-87.714234,,,,Level 1+,Intensive Support
610383,Greater Lawndale High School For Social Justice,60623,Small,Principal,TRUE,297,288,61,65,44,249,2,0,1,0,0,1,0,0,The largest demographic at SOCIAL JUSTICE HS is Hispanic.  This demographic makes up 83.8% of the student population.  The second greatest demographic is Black at 14.8%.,Fully Accessible,TRUE,,Full Day,"French, Spanish, Spanish for Heritage Speakers",TRUE,FALSE,TRUE,,,,,,41.833507,-87.735299,15.6,56.6,87.5,Level 1,Good Standing
609693,George Westinghouse College Prep,60624,Selective enrollment,Principal,FALSE,1146,906,78,16,601,450,25,59,1,0,0,7,1,2,The largest demographic at WESTINGHOUSE HS is Black.  This demographic makes up 52.4% of the student population.  The second greatest demographic is Hispanic at 39.3%.,Fully Accessible,FALSE,,Full Day,"Chinese, French, Spanish",FALSE,FALSE,TRUE,,,TRUE,,,41.889977,-87.707332,20.7,76.7,97.6,Level 1+,Good Standing
400127,YCCS-Austin Career Education Center HS,60651,Charter,Director,FALSE,107,106,11,0,102,5,0,0,0,0,0,0,0,0,The largest demographic at YCCS - AUSTIN CAREER is Black.  This demographic makes up 95.3% of the student population.  The second greatest demographic is Hispanic at 4.7%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.894976,-87.760221,12.8,14.9,,Level 1+,Not Applicable
400083,UNO Charter School - Octavio Paz Campus,60608,Charter,Director,FALSE,381,377,40,196,20,358,1,0,1,0,0,1,0,0,The largest demographic at UNO - PAZ is Hispanic.  This demographic makes up 94% of the student population.  The second greatest demographic is Black at 5.2%.,No/unknown accessibility,TRUE,,Full Day,,,,TRUE,,,,,,41.850035,-87.692551,,,,Level 2+,Not Applicable
610513,Air Force Academy High School,60609,Military academy,Principal,FALSE,325,287,40,6,145,142,27,7,1,0,0,2,0,1,The largest demographic at AIR FORCE HS is Black.  This demographic makes up 44.6% of the student population.  The second greatest demographic is Hispanic at 43.7%.,Generally accessible,TRUE,,Full Day,Spanish,FALSE,FALSE,TRUE,,,,,,41.828145,-87.632757,18.8,61.5,86.1,Level 1,Good Standing
400120,UNO Charter - Near West Elementary,60707,Charter,Director,TRUE,572,520,53,236,22,542,6,0,2,0,0,0,0,0,The largest demographic at UNO - CLEMENTE is Hispanic.  This demographic makes up 94.8% of the student population.  The second greatest demographic is Black at 3.8%.,No/unknown accessibility,FALSE,,,,,,TRUE,,,,,,41.917952,-87.78783,,,,Level 2+,Not Applicable
610090,Phillip Murray Elementary Language Academy,60615,Magnet,Principal,FALSE,515,277,45,15,454,26,7,7,0,0,0,21,0,0,The largest demographic at MURRAY is Black.  This demographic makes up 88.2% of the student population.  The second greatest demographic is Hispanic at 5%.,Fully Accessible,FALSE,,Full Day,"Chinese, French, Japanese, Spanish",,,FALSE,,,,,,41.798535,-87.59334,,,,Level 1,Good Standing
610004,Countee Cullen Elementary School,60628,Neighborhood,Principal,TRUE,178,165,23,3,175,2,0,0,0,0,0,1,0,0,The largest demographic at CULLEN is Black.  This demographic makes up 98.3% of the student population.  The second greatest demographic is Hispanic at 1.1%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.700335,-87.611244,,,,Level 1+,Good Standing
400171,Foundations College Preparatory Charter School,60643,Charter,Director,FALSE,200,189,43,2,197,3,0,0,0,0,0,0,0,0,The largest demographic at FOUNDATIONS is Black.  This demographic makes up 98.5% of the student population.  The second greatest demographic is Hispanic at 1.5%.,Fully Accessible,TRUE,,,,,,TRUE,,,,,,41.694671,-87.653535,,,,Level 2+,Not Applicable
400175,Excel - Woodlawn HS,60649,Citywide-Option,Principal,FALSE,168,155,34,0,162,3,0,0,0,0,0,1,0,2,The largest demographic at CAMELOT - EXCEL SOUTHSHORE HS is Black.  This demographic makes up 96.4% of the student population.  The second greatest demographic is Hispanic at 1.8%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.759749,-87.556487,13.8,8.3,,Inability to Rate,Good Standing
609735,Edward Tilden Career Community Academy HS,60609,Neighborhood,Principal,TRUE,282,269,99,15,164,81,26,5,0,0,0,6,0,0,The largest demographic at TILDEN HS is Black.  This demographic makes up 58.2% of the student population.  The second greatest demographic is Hispanic at 28.7%.,Generally accessible,TRUE,,Full Day,Spanish,TRUE,FALSE,TRUE,,,TRUE,,,41.80751,-87.642966,14.5,31.7,50,Level 2,Intensive Support
609997,Oliver Wendell Holmes Elementary School,60621,Neighborhood,Principal,TRUE,202,198,30,2,195,5,0,0,0,0,0,2,0,0,The largest demographic at HOLMES is Black.  This demographic makes up 96.5% of the student population.  The second greatest demographic is Hispanic at 2.5%.,Generally accessible,TRUE,Full Day,Full Day,,,,TRUE,,,,,,41.793788,-87.649795,,,,Level 2,Intensive Support
610010,Friedrich L. Jahn Elementary of the Fine Arts,60657,Neighborhood,Principal,TRUE,346,209,69,60,43,201,74,7,0,0,0,18,2,1,The largest demographic at JAHN is Hispanic.  This demographic makes up 58.1% of the student population.  The second greatest demographic is White at 21.4%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,TRUE,,,,,41.939247,-87.67581,,,,Level 2,Provisional Support
400021,Catalyst Elementary Charter School - Circle Rock,60644,Charter,Director,FALSE,518,472,68,0,501,12,0,1,0,0,0,2,0,2,The largest demographic at CATALYST - CIRCLE ROCK is Black.  This demographic makes up 96.7% of the student population.  The second greatest demographic is Hispanic at 2.3%.,Fully Accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.882322,-87.765322,,,,Level 1,Not Applicable
400097,Noble - Chicago Bulls College Prep,60612,Charter,Director,TRUE,1124,991,161,95,343,771,3,3,0,0,0,3,1,0,The largest demographic at NOBLE - BULLS HS is Hispanic.  This demographic makes up 68.6% of the student population.  The second greatest demographic is Black at 30.5%.,Generally accessible,TRUE,,,"French, Spanish",FALSE,FALSE,TRUE,,,,,,41.878809,-87.678195,21.7,84.4,71.5,Level 1+,Not Applicable
400089,UNO Charter School - Officer Donald J. Marquez,60632,Charter,Director,FALSE,573,551,56,330,3,567,0,0,3,0,0,0,0,0,The largest demographic at UNO - MARQUEZ is Hispanic.  This demographic makes up 99% of the student population.  The second greatest demographic is Black at 0.5%.,Generally accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.808309,-87.697394,,,,Level 1,Not Applicable
610099,Norwood Park Elementary School,60631,Neighborhood,Principal,TRUE,414,61,62,24,6,128,245,20,3,0,0,12,0,0,The largest demographic at NORWOOD PARK is White.  This demographic makes up 59.2% of the student population.  The second greatest demographic is Hispanic at 30.9%.,Generally accessible,FALSE,Half Day,Full Day,,,,FALSE,,,TRUE,,,41.988153,-87.802979,,,,Level 1+,Good Standing
609805,Scott Joplin Elementary School,60620,Neighborhood,Principal,TRUE,413,398,64,1,407,2,0,1,0,0,0,0,1,2,The largest demographic at JOPLIN is Black.  This demographic makes up 98.5% of the student population.  The second greatest demographic is Other at 0.7%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.749339,-87.669366,,,,Level 1,Good Standing
400075,University of Chicago - Donoghue,60653,Charter,Director,TRUE,542,441,23,5,532,6,0,0,0,0,0,2,0,2,The largest demographic at U OF C - DONOGHUE is Black.  This demographic makes up 98.2% of the student population.  The second greatest demographic is Hispanic at 1.1%.,Generally accessible,TRUE,Full Day,Full Day,,,,TRUE,,,,,,41.827726,-87.608501,,,,Level 2+,Not Applicable
609850,Horace Greeley Elementary School,60613,Neighborhood,Principal,TRUE,609,509,62,154,109,418,57,14,4,0,0,7,0,0,The largest demographic at GREELEY is Hispanic.  This demographic makes up 68.6% of the student population.  The second greatest demographic is Black at 17.9%.,Generally accessible,TRUE,Full and Half Day,Full Day,"Polish, Spanish, Spanish for Heritage Speakers",TRUE,,TRUE,,,,,,41.95281,-87.65098,,,,Level 1+,Good Standing
610357,Spry Community Links High School,60623,Neighborhood,Principal,FALSE,147,142,29,36,1,143,2,0,1,0,0,0,0,0,The largest demographic at SPRY HS is Hispanic.  This demographic makes up 97.3% of the student population.  The second greatest demographic is White at 1.4%.,No/unknown accessibility,TRUE,,Full Day,Spanish,TRUE,FALSE,TRUE,,,,,,41.847762,-87.698946,15.7,47.2,91.2,Level 2+,Good Standing
400101,UNO Charter School - Sandra Cisneros,60632,Charter,Director,FALSE,543,508,43,247,2,536,2,1,2,0,0,0,0,0,The largest demographic at UNO - CISNEROS is Hispanic.  This demographic makes up 98.7% of the student population.  The second greatest demographic is White at 0.4%.,No/unknown accessibility,FALSE,,,,,,TRUE,,,,,,41.822884,-87.693996,,,,Level 1+,Not Applicable
610568,Pathways in Education- Avondale,60618,Citywide-Option,Principal,FALSE,259,222,32,27,19,208,21,5,3,0,0,2,0,1,The largest demographic at PATHWAYS - AVONDALE HS is Hispanic.  This demographic makes up 80.3% of the student population.  The second greatest demographic is White at 8.1%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.939433,-87.705206,14.4,16.7,,Level 2+,Not Applicable
400150,YCCS-Chatham AcademyHS,60619,Charter,Director,FALSE,185,181,21,0,183,0,0,0,0,0,0,2,0,0,The largest demographic at YCCS - CHATHAM is Black.  This demographic makes up 98.9% of the student population.  The second greatest demographic is Other at 1.1%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.730131,-87.60698,13.3,19.4,,Level 2,Not Applicable
609711,William Rainey Harper High School,60636,Neighborhood,Principal,TRUE,158,158,40,1,150,6,0,0,0,0,0,2,0,0,The largest demographic at HARPER HS is Black.  This demographic makes up 94.9% of the student population.  The second greatest demographic is Hispanic at 3.8%.,Generally accessible,TRUE,,Full Day,Spanish,FALSE,FALSE,TRUE,,,,,,41.775124,-87.669089,14.6,31.9,62.1,Level 2,Intensive Support
400123,YCCS- Academy of Scholastic Achievement HS,60644,Charter,Director,FALSE,214,206,39,0,208,6,0,0,0,0,0,0,0,0,The largest demographic at YCCS - SCHOLASTIC ACHIEVEMENT is Black.  This demographic makes up 97.2% of the student population.  The second greatest demographic is Hispanic at 2.8%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.880447,-87.742539,13.3,8.9,,Level 1,Not Applicable
